home,away,dateTime,odds_1,odds_x,odds_2
Poland,Turkey,2024-06-10 20:45:00,2.39,3.3,3.0
Ghana,Central Africa,2024-06-10 21:00:00,1.32,4.8,12.0
Burkina Faso,Sierra Leone,2024-06-10 21:00:00,1.59,3.7,6.7
Guinea,Mozambique,2024-06-10 21:00:00,1.77,3.35,5.3
S. Morning,Recoleta,2024-06-10 21:30:00,2.18,3.2,3.15
Vila Nova FC,Ceara,2024-06-11 00:00:00,2.37,3.0,3.15
Ypiranga FC,Tombense,2024-06-11 01:00:00,2.18,3.1,3.35
CSA,EC Sao Jose,2024-06-11 01:00:00,2.36,3.1,3.0
Floresta EC,Confianca,2024-06-11 01:00:00,2.29,3.0,3.2
Atl. Rafaela,Estudiantes Rio Cuarto,2024-06-11 02:10:00,2.65,2.86,2.9
Sport Recife,Paysandu PA,2024-06-11 02:30:00,1.56,3.8,6.0
Japan,Syria,2024-06-11 12:14:00,1.11,9.75,23.0
South Korea,China,2024-06-11 13:00:00,1.21,6.7,14.0
Australia,Palestine,2024-06-11 14:10:00,1.25,5.6,14.0
Azerbaijan,Kazakhstan,2024-06-11 16:00:00,2.29,3.15,3.25
PK 35,JaPS,2024-06-11 17:30:00,1.69,3.95,4.3
San Marino,Cyprus,2024-06-11 18:00:00,11.5,5.6,1.26
Malta,Greece,2024-06-11 18:00:00,8.75,5.0,1.34
Rampla Juniors,Boston River,2024-06-11 20:00:00,3.2,3.3,2.2
Portugal,Ireland,2024-06-11 20:45:00,1.28,5.7,9.5
Atletico GO,Corinthians,2024-06-12 00:00:00,2.57,3.2,2.88
Juventude,Vitoria,2024-06-12 00:00:00,1.98,3.3,4.1
Mirassol,Goias,2024-06-12 00:00:00,2.25,3.0,3.45
Botafogo RJ,Fluminense,2024-06-12 01:00:00,2.09,3.35,3.65
Chile,Paraguay,2024-06-12 02:00:00,1.86,3.35,4.45
Bragantino,Atletico-MG,2024-06-12 02:30:00,2.46,3.15,3.1
Inter Turku,Ilves,2024-06-12 17:00:00,3.45,3.65,2.06
Mariehamn,VPS,2024-06-12 17:00:00,4.2,3.55,1.89
AC Oulu,Lahti,2024-06-12 17:00:00,1.73,3.75,4.9
KuPS,Haka,2024-06-12 17:00:00,1.57,4.15,5.9
SJK,Ekenas,2024-06-12 17:00:00,1.39,5.0,7.6
Jaro,SJK Akatemia,2024-06-12 17:30:00,1.65,3.8,4.7
Mikkeli,TPS,2024-06-12 17:30:00,5.0,3.9,1.6
KTP,JIPPO,2024-06-12 17:30:00,1.65,3.8,4.75
SalPa,KaPa,2024-06-12 17:30:00,1.73,3.75,4.2
Gnistan,HJK,2024-06-12 18:00:00,4.85,3.95,1.69
Stabaek,Mjondalen,2024-06-12 19:00:00,1.63,4.4,4.6
Gimnasia Jujuy,Chacarita Juniors,2024-06-12 20:10:00,2.31,2.92,3.4
Godoy Cruz,Rosario Central,2024-06-12 22:00:00,2.18,3.1,3.7
Argentinos Jrs,Central Cordoba Rosario,2024-06-13 00:00:00,1.5,4.15,7.1
USA,Brazil,2024-06-13 01:00:00,5.5,4.45,1.53
Independiente,Banfield,2024-06-13 02:15:00,2.18,3.0,3.85
Gimnasia L.P.,Barracas Central,2024-06-13 02:15:00,1.75,3.55,5.1
Future FC,El Gouna,2024-06-13 18:00:00,1.93,3.15,4.2
Dep. Riestra,River Plate,2024-06-13 20:00:00,9.5,4.75,1.36
Bohemians,Derry City,2024-06-13 20:45:00,4.0,3.35,1.95
St. Patricks,Shamrock Rovers,2024-06-13 20:45:00,3.95,3.55,1.9
Dundalk,Sligo Rovers,2024-06-13 20:45:00,1.93,3.35,4.1
Waterford,Shelbourne,2024-06-13 20:45:00,3.3,3.1,2.31
Galway,Drogheda,2024-06-13 20:45:00,1.72,3.5,5.1
Cork City,Cobh Ramblers,2024-06-13 20:45:00,1.43,4.1,8.0
Finn Harps,UC Dublin,2024-06-13 20:45:00,2.82,3.1,2.55
Bray,Athlone,2024-06-13 20:45:00,2.17,3.25,3.3
Kerry,Longford,2024-06-13 20:45:00,2.4,3.2,2.92
Wexford,Treaty United,2024-06-13 20:45:00,1.86,3.45,4.15
Sarmiento Junin,Estudiantes L.P.,2024-06-14 00:00:00,4.45,3.15,1.96
Tigre,Belgrano,2024-06-14 00:00:00,2.71,3.2,2.71
Cruzeiro,Cuiaba,2024-06-14 00:00:00,1.61,3.65,6.4
Flamengo RJ,Gremio,2024-06-14 01:00:00,1.5,4.25,6.7
Internacional,Sao Paulo,2024-06-14 01:00:00,2.83,3.15,2.63
Athletico PR,Criciuma,2024-06-14 01:00:00,1.54,3.9,6.8
Lanus,Racing Club,2024-06-14 02:15:00,3.25,3.2,2.33
Newells Old Boys,Instituto,2024-06-14 02:15:00,2.16,3.05,3.8
Bahia,Fortaleza,2024-06-14 02:30:00,1.96,3.45,4.0
Palmeiras,Vasco,2024-06-14 02:30:00,1.43,4.5,7.9
Meizhou Hakka,Shandong Taishan,2024-06-14 13:35:00,6.2,4.4,1.49
Nantong Zhiyun,Shenzhen Xinpengcheng,2024-06-14 14:00:00,2.58,3.45,2.63
Tianjin Jinmen Tiger,Shanghai Port,2024-06-14 14:00:00,6.6,5.0,1.41
Ceramica Cleopatra,Zamalek,2024-06-14 18:00:00,3.3,3.25,2.16
Pharco,Al Ahly Cairo,2024-06-14 18:00:00,6.6,3.8,1.52
Orgryte,Sundsvall,2024-06-14 19:00:00,1.87,3.8,3.85
Germany,Scotland,2024-06-14 21:00:00,1.3,5.75,11.5
Talleres Cordoba,Platense,2024-06-15 00:00:00,1.74,3.4,5.6
Boca Juniors,Velez Sarsfield,2024-06-15 00:00:00,2.14,3.15,3.75
New York City,Columbus Crew,2024-06-15 01:30:00,2.17,3.5,3.3
Yokohama F. Marinos,Machida,2024-06-15 09:00:00,2.67,3.75,2.44
Fujieda MYFC,Yokohama FC,2024-06-15 11:00:00,4.95,3.65,1.74
Pohang,Daejeon,2024-06-15 11:00:00,1.8,3.55,4.5
Sanfrecce Hiroshima,Verdy,2024-06-15 11:30:00,1.59,4.1,5.7
Cerezo Osaka,Urawa Reds,2024-06-15 12:00:00,2.71,3.4,2.59
Kyoto,Hokkaido Consadole Sapporo,2024-06-15 12:00:00,2.42,3.4,2.92
Kagoshima Utd,Montedio Yamagata,2024-06-15 12:00:00,2.78,3.4,2.51
Gwangju FC,Gimcheon Sangmu,2024-06-15 12:00:00,2.23,3.3,3.25
Gyeongnam,Suwon Bluewings,2024-06-15 12:00:00,3.35,3.2,2.17
Jeonnam,Bucheon FC 1995,2024-06-15 12:00:00,2.27,3.1,3.25
Seongnam,Anyang,2024-06-15 12:30:00,2.78,3.1,2.57
Gangwon,Suwon FC,2024-06-15 13:00:00,2.21,3.5,3.15
Zhejiang Professional,Changchun Yatai,2024-06-15 13:35:00,1.45,4.85,6.2
Henan Songshan Longmen,Beijing Guoan,2024-06-15 14:00:00,3.15,3.65,2.13
Hungary,Switzerland,2024-06-15 15:00:00,3.4,3.2,2.25
Gefle,Landskrona,2024-06-15 15:00:00,3.25,3.45,2.17
Skovde AIK,Degerfors,2024-06-15 15:00:00,4.15,3.6,1.86
Utsikten,Varbergs GIF,2024-06-15 15:00:00,1.88,3.6,4.0
Spain,Croatia,2024-06-15 18:00:00,1.91,3.45,4.25
Italy,Albania,2024-06-15 21:00:00,1.39,4.6,8.75
Union de Santa Fe,San Lorenzo,2024-06-15 21:00:00,2.29,2.9,3.75
Huracan,Ind. Rivadavia,2024-06-15 23:00:00,1.63,3.7,6.1
Atl. Tucuman,Defensa y Justicia,2024-06-16 01:30:00,2.15,3.15,3.7
Atlanta Utd,Houston Dynamo,2024-06-16 01:30:00,2.05,3.75,3.4
CF Montreal,Real Salt Lake,2024-06-16 01:30:00,3.2,3.8,2.09
New York Red Bulls,Nashville SC,2024-06-16 01:30:00,1.75,3.6,5.0
Philadelphia Union,Inter Miami,2024-06-16 01:30:00,2.07,3.9,3.25
Charlotte,DC United,2024-06-16 01:30:00,2.07,3.6,3.45
Toronto FC,Chicago Fire,2024-06-16 01:30:00,1.88,3.8,3.95
New England Revolution,Vancouver Whitecaps,2024-06-16 01:30:00,2.45,3.75,2.66
Orlando City,Los Angeles FC,2024-06-16 01:30:00,2.52,3.6,2.67
FC Dallas,St. Louis City,2024-06-16 02:30:00,2.26,3.5,3.1
Colorado Rapids,Austin FC,2024-06-16 03:30:00,1.68,4.35,4.5
San Jose Earthquakes,FC Cincinnati,2024-06-16 04:30:00,2.81,3.7,2.36
Seattle Sounders,Minnesota United,2024-06-16 04:30:00,1.72,4.0,4.6
Los Angeles Galaxy,Sporting Kansas City,2024-06-16 04:30:00,1.68,4.35,4.4
Vissel Kobe,Kawasaki Frontale,2024-06-16 07:00:00,1.89,3.6,4.15
Avispa Fukuoka,Sagan Tosu,2024-06-16 08:30:00,1.99,3.4,3.9
